# SHEtoken WEI Historical — 2018 | Global WEI: 54.6
# Event-reversal model from 2025 baseline
# (c) 2026 SHE Foundation
#
rank,country,iso_code,region,tier,population_millions,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score,wei_score,population_weight,ticker,year,wei_version,data_source,verified,notes,data_source
1,Iceland,ISL,Europe,1,0.4,93.6,98.5,88.0,97.0,95.0,93.0,93.0,90.7,8.3,92.9,1.0,SHE-ISL,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
2,Norway,NOR,Europe,1,5.4,91.6,97.5,86.0,98.0,94.0,92.0,92.0,89.7,8.3,91.8,1.0,SHE-NOR,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
3,Finland,FIN,Europe,1,5.5,90.6,98.5,85.0,97.0,93.0,91.0,91.0,88.7,8.3,91.1,1.0,SHE-FIN,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
4,Sweden,SWE,Europe,1,10.4,89.6,97.5,87.0,97.0,94.0,90.0,92.0,89.7,10.3,91.1,1.0,SHE-SWE,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
5,Denmark,DNK,Europe,1,5.9,87.6,96.5,85.0,96.0,92.0,89.0,91.0,87.7,9.3,89.6,1.0,SHE-DNK,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
6,New Zealand,NZL,Oceania,1,5.1,86.6,97.5,83.0,96.0,91.0,88.0,89.0,85.7,13.3,88.3,1.0,SHE-NZL,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
7,Netherlands,NLD,Europe,1,17.5,82.6,96.5,82.0,97.0,89.0,86.0,89.0,85.7,12.3,87.1,1.0,SHE-NLD,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
8,Canada,CAN,N. America,1,38.2,83.6,97.5,80.0,96.0,90.0,85.0,88.0,85.7,14.3,86.7,1.0,SHE-CAN,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
9,Switzerland,CHE,Europe,1,8.7,81.6,96.5,82.0,97.0,88.0,85.0,89.0,83.7,10.3,86.6,1.0,SHE-CHE,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
10,Germany,DEU,Europe,1,83.2,82.6,95.5,81.0,95.0,89.0,86.0,88.0,84.7,12.3,86.4,1.0,SHE-DEU,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
11,Ireland,IRL,Europe,1,5.1,80.6,97.5,80.0,97.0,87.0,85.0,88.0,83.7,11.3,86.0,1.0,SHE-IRL,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
12,Australia,AUS,Oceania,1,25.9,80.6,96.5,79.0,96.0,89.0,84.0,87.0,83.7,16.4,85.2,1.0,SHE-AUS,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
13,Belgium,BEL,Europe,1,11.5,78.6,96.5,80.0,96.0,87.0,84.0,87.0,82.7,13.3,84.9,1.0,SHE-BEL,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
14,Austria,AUT,Europe,1,9.0,77.6,95.5,79.0,96.0,86.0,83.0,86.0,81.7,12.3,84.2,1.0,SHE-AUT,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
15,United Kingdom,GBR,Europe,1,67.0,77.6,96.5,78.0,95.0,86.0,83.0,85.0,82.7,16.4,83.6,1.0,SHE-GBR,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
16,France,FRA,Europe,1,67.4,76.6,95.5,78.0,95.0,85.0,82.0,85.0,81.7,15.3,83.1,1.0,SHE-FRA,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
17,Spain,ESP,Europe,1,47.4,74.6,96.5,76.0,95.0,84.0,82.0,84.0,80.7,14.3,82.4,1.0,SHE-ESP,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
18,United States,USA,N. America,1,331.0,75.6,96.5,73.0,93.0,93.0,80.0,83.0,81.7,20.4,82.4,1.0,SHE-USA,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
19,Portugal,PRT,Europe,1,10.3,72.6,95.5,74.0,94.0,83.0,81.0,83.0,78.7,13.3,81.1,1.0,SHE-PRT,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
20,Japan,JPN,Asia,1,125.7,66.6,97.5,71.0,98.0,79.0,79.0,83.0,80.7,7.3,80.5,1.0,SHE-JPN,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
21,Israel,ISR,Middle East,1,9.3,70.6,96.5,74.0,95.0,77.0,77.0,79.0,77.7,15.3,78.9,1.0,SHE-ISR,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
22,South Korea,KOR,Asia,1,51.7,63.6,97.5,68.0,97.0,77.0,77.0,81.0,77.7,11.3,78.1,1.0,SHE-KOR,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
23,Uruguay,URY,S. America,1,3.5,70.6,95.5,68.0,93.0,77.0,75.0,77.0,73.7,26.4,75.8,1.0,SHE-URY,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
24,China,CHN,Asia,2,1412.0,59.9,91.7,63.2,88.2,60.6,62.2,64.2,62.3,22.6,66.3,1.0,SHE-CHN,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
25,Argentina,ARG,S. America,2,45.4,57.9,91.7,57.2,89.2,68.6,62.2,66.2,64.3,36.6,65.6,1.0,SHE-ARG,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
26,Ukraine,UKR,Europe,2,43.5,55.9,91.7,61.2,88.2,64.6,60.2,64.2,62.3,28.6,65.2,1.0,SHE-UKR,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
27,Chile,CHL,S. America,2,19.1,53.9,90.7,56.2,88.2,64.6,60.2,64.2,62.3,34.6,63.6,1.0,SHE-CHL,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
28,Russia,RUS,Europe,2,144.1,53.9,90.7,59.2,86.2,60.6,56.2,60.2,58.3,26.6,62.6,1.0,SHE-RUS,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
29,Kazakhstan,KAZ,Central Asia,2,19.1,51.9,90.7,59.2,86.2,58.6,58.2,60.2,56.3,26.6,62.0,1.0,SHE-KAZ,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
30,Philippines,PHL,Asia,2,111.0,62.9,89.7,57.2,80.2,58.6,56.2,58.2,56.3,32.6,61.5,1.0,SHE-PHL,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
31,Vietnam,VNM,Asia,2,97.3,55.9,88.7,55.2,86.2,54.6,58.2,58.2,54.3,20.6,61.5,1.0,SHE-VNM,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
32,Thailand,THA,Asia,2,71.6,54.9,86.7,57.2,86.2,56.6,56.2,58.2,56.3,26.6,61.0,1.0,SHE-THA,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
33,Sri Lanka,LKA,Asia,2,22.2,53.9,90.7,51.2,83.2,56.6,54.2,56.2,52.3,26.6,59.4,1.0,SHE-LKA,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
34,Brazil,BRA,S. America,2,213.0,52.9,88.7,53.2,86.2,62.6,54.2,58.2,56.3,44.6,59.3,1.0,SHE-BRA,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
35,Colombia,COL,S. America,2,51.0,49.9,88.7,49.2,85.2,54.6,54.2,58.2,56.3,42.6,57.2,1.0,SHE-COL,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
36,Mongolia,MNG,Asia,2,3.3,52.9,89.7,51.2,82.2,52.6,52.2,54.2,52.3,36.6,56.9,1.0,SHE-MNG,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
37,Mexico,MEX,N. America,2,128.9,44.9,86.7,47.2,83.2,56.6,50.2,56.2,54.3,46.6,54.7,1.0,SHE-MEX,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
38,Rwanda,RWA,Africa,2,13.5,61.9,82.7,47.2,70.2,50.6,54.2,52.2,44.3,34.6,54.7,1.0,SHE-RWA,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
39,Turkey,TUR,Europe/Asia,2,84.3,45.9,80.7,51.2,84.2,50.6,50.2,54.2,52.3,34.6,54.6,1.0,SHE-TUR,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
40,Bolivia,BOL,S. America,2,11.8,49.9,86.7,47.2,80.2,50.6,50.2,52.2,48.3,40.6,53.8,1.0,SHE-BOL,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
41,Tunisia,TUN,Africa,2,12.0,43.9,83.7,47.2,80.2,48.6,50.2,52.2,50.3,28.6,53.6,1.0,SHE-TUN,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
42,Namibia,NAM,Africa,2,2.6,52.9,86.7,49.2,74.2,50.6,52.2,52.2,50.3,50.6,53.2,1.0,SHE-NAM,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
43,Botswana,BWA,Africa,2,2.6,53.9,85.7,51.2,72.2,50.6,50.2,52.2,48.3,46.6,53.2,1.0,SHE-BWA,2018,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
