# SHEtoken WEI Historical — 2015 | Global WEI: 53.9
# Event-reversal model from 2025 baseline
# (c) 2026 SHE Foundation
#
rank,country,iso_code,region,tier,population_millions,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score,wei_score,population_weight,ticker,year,wei_version,data_source,verified,notes,data_source
1,Iceland,ISL,Europe,1,0.4,93.3,98.2,87.5,96.7,94.5,91.7,92.5,89.5,8.5,92.2,1.0,SHE-ISL,2015,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
2,Norway,NOR,Europe,1,5.4,91.3,97.2,85.5,97.7,93.5,90.7,91.5,88.5,8.5,91.2,1.0,SHE-NOR,2015,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
3,Finland,FIN,Europe,1,5.5,90.3,98.2,84.5,96.7,92.5,89.7,90.5,87.5,8.5,90.5,1.0,SHE-FIN,2015,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
4,Sweden,SWE,Europe,1,10.4,89.3,97.2,86.5,96.7,93.5,88.7,91.5,88.5,10.5,90.4,1.0,SHE-SWE,2015,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
5,Denmark,DNK,Europe,1,5.9,87.3,96.2,84.5,95.7,91.5,87.7,90.5,86.5,9.5,89.0,1.0,SHE-DNK,2015,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
6,New Zealand,NZL,Oceania,1,5.1,86.3,97.2,82.5,95.7,90.5,86.7,88.5,84.5,13.5,87.7,1.0,SHE-NZL,2015,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
7,Netherlands,NLD,Europe,1,17.5,82.3,96.2,81.5,96.7,88.5,84.7,88.5,84.5,12.5,86.5,1.0,SHE-NLD,2015,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
8,Canada,CAN,N. America,1,38.2,83.3,97.2,79.5,95.7,89.5,83.7,87.5,84.5,14.5,86.1,1.0,SHE-CAN,2015,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
9,Switzerland,CHE,Europe,1,8.7,81.3,96.2,81.5,96.7,87.5,83.7,88.5,82.5,10.5,86.0,1.0,SHE-CHE,2015,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
10,Germany,DEU,Europe,1,83.2,82.3,95.2,80.5,94.7,88.5,84.7,87.5,83.5,12.5,85.8,1.0,SHE-DEU,2015,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
11,Ireland,IRL,Europe,1,5.1,80.3,97.2,79.5,96.7,86.5,83.7,87.5,82.5,11.5,85.4,1.0,SHE-IRL,2015,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
