# SHEtoken WEI Historical — 2020 | Global WEI: 52.4
# Event-reversal model from 2025 baseline
# (c) 2026 SHE Foundation
#
rank,country,iso_code,region,tier,population_millions,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score,wei_score,population_weight,ticker,year,wei_version,data_source,verified,notes,data_source
1,Iceland,ISL,Europe,1,0.4,94.0,95.7,83.3,94.2,95.2,88.7,89.2,91.5,8.2,90.8,1.0,SHE-ISL,2020,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
2,Norway,NOR,Europe,1,5.4,92.0,94.7,81.3,95.2,94.2,87.7,88.2,90.5,8.2,89.8,1.0,SHE-NOR,2020,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
3,Finland,FIN,Europe,1,5.5,91.0,95.7,80.3,94.2,93.2,86.7,87.2,89.5,8.2,89.0,1.0,SHE-FIN,2020,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
4,Sweden,SWE,Europe,1,10.4,90.0,94.7,82.3,94.2,94.2,85.7,88.2,90.5,10.2,89.0,1.0,SHE-SWE,2020,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
5,Denmark,DNK,Europe,1,5.9,88.0,93.7,80.3,93.2,92.2,84.7,87.2,88.5,9.2,87.6,1.0,SHE-DNK,2020,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
6,New Zealand,NZL,Oceania,1,5.1,87.0,94.7,78.3,93.2,91.2,83.7,85.2,86.5,13.2,86.2,1.0,SHE-NZL,2020,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
7,Luxembourg,LUX,Europe,1,0.6,83.0,93.7,77.3,94.2,89.2,82.7,85.2,86.5,11.2,85.3,1.0,SHE-LUX,2020,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
8,Netherlands,NLD,Europe,1,17.5,83.0,93.7,77.3,94.2,89.2,81.7,85.2,86.5,12.2,85.0,1.0,SHE-NLD,2020,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
9,Canada,CAN,N. America,1,38.2,84.0,94.7,75.3,93.2,90.2,80.7,84.2,86.5,14.2,84.7,1.0,SHE-CAN,2020,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
10,Switzerland,CHE,Europe,1,8.7,82.0,93.7,77.3,94.2,88.2,80.7,85.2,84.5,10.2,84.6,1.0,SHE-CHE,2020,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
11,Germany,DEU,Europe,1,83.2,83.0,92.7,76.3,92.2,89.2,81.7,84.2,85.5,12.2,84.4,1.0,SHE-DEU,2020,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
12,Ireland,IRL,Europe,1,5.1,81.0,94.7,75.3,94.2,87.2,80.7,84.2,84.5,11.2,84.0,1.0,SHE-IRL,2020,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
13,Australia,AUS,Oceania,1,25.9,81.0,93.7,74.3,93.2,89.2,79.7,83.2,84.5,16.2,83.2,1.0,SHE-AUS,2020,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
14,Belgium,BEL,Europe,1,11.5,79.0,93.7,75.3,93.2,87.2,79.7,83.2,83.5,13.2,82.9,1.0,SHE-BEL,2020,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
15,Slovenia,SVN,Europe,1,2.1,79.0,93.7,71.3,92.2,85.2,80.7,82.2,82.5,10.2,82.2,1.0,SHE-SVN,2020,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
16,Austria,AUT,Europe,1,9.0,78.0,92.7,74.3,93.2,86.2,78.7,82.2,82.5,12.2,82.1,1.0,SHE-AUT,2020,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
