# SHEtoken WEI Historical — 2016 | Global WEI: 53.5
# Event-reversal model from 2025 baseline
# (c) 2026 SHE Foundation
#
rank,country,iso_code,region,tier,population_millions,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score,wei_score,population_weight,ticker,year,wei_version,data_source,verified,notes,data_source
1,Iceland,ISL,Europe,1,0.4,93.2,98.2,87.7,96.8,94.7,91.8,92.7,89.9,8.4,92.4,1.0,SHE-ISL,2016,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
2,Norway,NOR,Europe,1,5.4,91.2,97.2,85.7,97.8,93.7,90.8,91.7,88.9,8.4,91.4,1.0,SHE-NOR,2016,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
3,Finland,FIN,Europe,1,5.5,90.2,98.2,84.7,96.8,92.7,89.8,90.7,87.9,8.4,90.6,1.0,SHE-FIN,2016,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
4,Sweden,SWE,Europe,1,10.4,89.2,97.2,86.7,96.8,93.7,88.8,91.7,88.9,10.4,90.6,1.0,SHE-SWE,2016,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
5,Denmark,DNK,Europe,1,5.9,87.2,96.2,84.7,95.8,91.7,87.8,90.7,86.9,9.4,89.2,1.0,SHE-DNK,2016,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
6,New Zealand,NZL,Oceania,1,5.1,86.2,97.2,82.7,95.8,90.7,86.8,88.7,84.9,13.4,87.8,1.0,SHE-NZL,2016,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
7,Luxembourg,LUX,Europe,1,0.6,82.2,96.2,81.7,96.8,88.7,85.8,88.7,84.9,11.4,86.8,1.0,SHE-LUX,2016,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
8,Netherlands,NLD,Europe,1,17.5,82.2,96.2,81.7,96.8,88.7,84.8,88.7,84.9,12.4,86.6,1.0,SHE-NLD,2016,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
9,Switzerland,CHE,Europe,1,8.7,81.2,96.2,81.7,96.8,87.7,83.8,88.7,82.9,10.4,86.2,1.0,SHE-CHE,2016,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
10,Canada,CAN,N. America,1,38.2,83.2,97.2,79.7,95.8,89.7,83.8,87.7,84.9,14.4,86.2,1.0,SHE-CAN,2016,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
11,Germany,DEU,Europe,1,83.2,82.2,95.2,80.7,94.8,88.7,84.8,87.7,83.9,12.4,85.9,1.0,SHE-DEU,2016,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
12,Ireland,IRL,Europe,1,5.1,80.2,97.2,79.7,96.8,86.7,83.8,87.7,82.9,11.4,85.5,1.0,SHE-IRL,2016,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
13,Australia,AUS,Oceania,1,25.9,80.2,96.2,78.7,95.8,88.7,82.8,86.7,82.9,16.4,84.7,1.0,SHE-AUS,2016,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
14,Belgium,BEL,Europe,1,11.5,78.2,96.2,79.7,95.8,86.7,82.8,86.7,81.9,13.4,84.5,1.0,SHE-BEL,2016,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
15,Slovenia,SVN,Europe,1,2.1,78.2,96.2,75.7,94.8,84.7,83.8,85.7,80.9,10.4,83.8,1.0,SHE-SVN,2016,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
16,Austria,AUT,Europe,1,9.0,77.2,95.2,78.7,95.8,85.7,81.8,85.7,80.9,12.4,83.7,1.0,SHE-AUT,2016,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
17,United Kingdom,GBR,Europe,1,67.0,77.2,96.2,77.7,94.8,85.7,81.8,84.7,81.9,16.4,83.2,1.0,SHE-GBR,2016,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
18,Lithuania,LTU,Europe,1,2.8,76.2,96.2,75.7,93.8,84.7,81.8,84.7,80.9,12.4,82.8,1.0,SHE-LTU,2016,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
19,France,FRA,Europe,1,67.4,76.2,95.2,77.7,94.8,84.7,80.8,84.7,80.9,15.4,82.6,1.0,SHE-FRA,2016,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
20,Spain,ESP,Europe,1,47.4,74.2,96.2,75.7,94.8,83.7,80.8,83.7,79.9,14.4,81.9,1.0,SHE-ESP,2016,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
