# SHEtoken WEI Historical — 2017 | Global WEI: 54.3
# Event-reversal model from 2025 baseline
# (c) 2026 SHE Foundation
#
rank,country,iso_code,region,tier,population_millions,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score,wei_score,population_weight,ticker,year,wei_version,data_source,verified,notes,data_source
1,Iceland,ISL,Europe,1,0.4,93.4,98.3,87.8,96.9,94.8,91.9,92.8,90.3,8.4,92.5,1.0,SHE-ISL,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
2,Norway,NOR,Europe,1,5.4,91.4,97.3,85.8,97.9,93.8,90.9,91.8,89.3,8.4,91.5,1.0,SHE-NOR,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
3,Finland,FIN,Europe,1,5.5,90.4,98.3,84.8,96.9,92.8,89.9,90.8,88.3,8.4,90.7,1.0,SHE-FIN,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
4,Sweden,SWE,Europe,1,10.4,89.4,97.3,86.8,96.9,93.8,88.9,91.8,89.3,10.4,90.7,1.0,SHE-SWE,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
5,Denmark,DNK,Europe,1,5.9,87.4,96.3,84.8,95.9,91.8,87.9,90.8,87.3,9.4,89.3,1.0,SHE-DNK,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
6,New Zealand,NZL,Oceania,1,5.1,86.4,97.3,82.8,95.9,90.8,86.9,88.8,85.3,13.4,87.9,1.0,SHE-NZL,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
7,Netherlands,NLD,Europe,1,17.5,82.4,96.3,81.8,96.9,88.8,84.9,88.8,85.3,12.4,86.7,1.0,SHE-NLD,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
8,Canada,CAN,N. America,1,38.2,83.4,97.3,79.8,95.9,89.8,83.9,87.8,85.3,14.4,86.4,1.0,SHE-CAN,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
9,Switzerland,CHE,Europe,1,8.7,81.4,96.3,81.8,96.9,87.8,83.9,88.8,83.3,10.4,86.3,1.0,SHE-CHE,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
10,Germany,DEU,Europe,1,83.2,82.4,95.3,80.8,94.9,88.8,84.9,87.8,84.3,12.4,86.1,1.0,SHE-DEU,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
11,Ireland,IRL,Europe,1,5.1,80.4,97.3,79.8,96.9,86.8,83.9,87.8,83.3,11.4,85.7,1.0,SHE-IRL,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
12,Australia,AUS,Oceania,1,25.9,80.4,96.3,78.8,95.9,88.8,82.9,86.8,83.3,16.4,84.9,1.0,SHE-AUS,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
13,Belgium,BEL,Europe,1,11.5,78.4,96.3,79.8,95.9,86.8,82.9,86.8,82.3,13.4,84.6,1.0,SHE-BEL,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
14,Austria,AUT,Europe,1,9.0,77.4,95.3,78.8,95.9,85.8,81.9,85.8,81.3,12.4,83.8,1.0,SHE-AUT,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
15,United Kingdom,GBR,Europe,1,67.0,77.4,96.3,77.8,94.9,85.8,81.9,84.8,82.3,16.4,83.3,1.0,SHE-GBR,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
16,France,FRA,Europe,1,67.4,76.4,95.3,77.8,94.9,84.8,80.9,84.8,81.3,15.4,82.7,1.0,SHE-FRA,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
17,Spain,ESP,Europe,1,47.4,74.4,96.3,75.8,94.9,83.8,80.9,83.8,80.3,14.4,82.1,1.0,SHE-ESP,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
18,United States,USA,N. America,1,331.0,75.4,96.3,72.8,92.9,92.8,78.9,82.8,81.3,20.4,82.1,1.0,SHE-USA,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
19,Portugal,PRT,Europe,1,10.3,72.4,95.3,73.8,93.9,82.8,79.9,82.8,78.3,13.4,80.8,1.0,SHE-PRT,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
20,Japan,JPN,Asia,1,125.7,66.4,97.3,70.8,97.9,78.8,77.9,82.8,80.3,7.4,80.2,1.0,SHE-JPN,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
21,Israel,ISR,Middle East,1,9.3,70.4,96.3,73.8,94.9,76.8,75.9,78.8,77.3,15.4,78.6,1.0,SHE-ISR,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
22,South Korea,KOR,Asia,1,51.7,63.4,97.3,67.8,96.9,76.8,75.9,80.8,77.3,11.4,77.8,1.0,SHE-KOR,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
23,Uruguay,URY,S. America,1,3.5,70.4,95.3,67.8,92.9,76.8,73.9,76.8,73.3,26.4,75.5,1.0,SHE-URY,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
24,China,CHN,Asia,2,1412.0,59.6,91.3,63.0,87.9,60.4,62.0,64.0,61.7,22.6,66.1,1.0,SHE-CHN,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
25,Argentina,ARG,S. America,2,45.4,57.6,91.3,57.0,88.9,68.4,62.0,66.0,63.7,36.6,65.4,1.0,SHE-ARG,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
26,Ukraine,UKR,Europe,2,43.5,55.6,91.3,61.0,87.9,64.4,60.0,64.0,61.7,28.6,64.9,1.0,SHE-UKR,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
27,Chile,CHL,S. America,2,19.1,53.6,90.3,56.0,87.9,64.4,60.0,64.0,61.7,34.6,63.3,1.0,SHE-CHL,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
28,Russia,RUS,Europe,2,144.1,53.6,90.3,59.0,85.9,60.4,56.0,60.0,57.7,26.6,62.3,1.0,SHE-RUS,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
29,Kazakhstan,KAZ,Central Asia,2,19.1,51.6,90.3,59.0,85.9,58.4,58.0,60.0,55.7,26.6,61.8,1.0,SHE-KAZ,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
30,Philippines,PHL,Asia,2,111.0,62.6,89.3,57.0,79.9,58.4,56.0,58.0,55.7,32.6,61.2,1.0,SHE-PHL,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
31,Vietnam,VNM,Asia,2,97.3,55.6,88.3,55.0,85.9,54.4,58.0,58.0,53.7,20.6,61.2,1.0,SHE-VNM,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
32,Thailand,THA,Asia,2,71.6,54.6,86.3,57.0,85.9,56.4,56.0,58.0,55.7,26.6,60.7,1.0,SHE-THA,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
33,Sri Lanka,LKA,Asia,2,22.2,53.6,90.3,51.0,82.9,56.4,54.0,56.0,51.7,26.6,59.1,1.0,SHE-LKA,2017,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
