# SHEtoken WEI Historical — 2019 | Global WEI: 54.4
# Event-reversal model from 2025 baseline
# (c) 2026 SHE Foundation
#
rank,country,iso_code,region,tier,population_millions,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score,wei_score,population_weight,ticker,year,wei_version,data_source,verified,notes,data_source
1,Iceland,ISL,Europe,1,0.4,93.8,98.6,88.1,97.1,95.1,92.6,93.1,91.1,8.3,92.9,1.0,SHE-ISL,2019,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
2,Norway,NOR,Europe,1,5.4,91.8,97.6,86.1,98.1,94.1,91.6,92.1,90.1,8.3,91.9,1.0,SHE-NOR,2019,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
3,Finland,FIN,Europe,1,5.5,90.8,98.6,85.1,97.1,93.1,90.6,91.1,89.1,8.3,91.2,1.0,SHE-FIN,2019,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
4,Sweden,SWE,Europe,1,10.4,89.8,97.6,87.1,97.1,94.1,89.6,92.1,90.1,10.3,91.1,1.0,SHE-SWE,2019,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
5,Denmark,DNK,Europe,1,5.9,87.8,96.6,85.1,96.1,92.1,88.6,91.1,88.1,9.3,89.7,1.0,SHE-DNK,2019,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
6,New Zealand,NZL,Oceania,1,5.1,86.8,97.6,83.1,96.1,91.1,87.6,89.1,86.1,13.3,88.4,1.0,SHE-NZL,2019,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
7,Luxembourg,LUX,Europe,1,0.6,82.8,96.6,82.1,97.1,89.1,86.6,89.1,86.1,11.3,87.4,1.0,SHE-LUX,2019,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
8,Netherlands,NLD,Europe,1,17.5,82.8,96.6,82.1,97.1,89.1,85.6,89.1,86.1,12.3,87.2,1.0,SHE-NLD,2019,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
9,Canada,CAN,N. America,1,38.2,83.8,97.6,80.1,96.1,90.1,84.6,88.1,86.1,14.3,86.8,1.0,SHE-CAN,2019,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
10,Switzerland,CHE,Europe,1,8.7,81.8,96.6,82.1,97.1,88.1,84.6,89.1,84.1,10.3,86.7,1.0,SHE-CHE,2019,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
11,Germany,DEU,Europe,1,83.2,82.8,95.6,81.1,95.1,89.1,85.6,88.1,85.1,12.3,86.5,1.0,SHE-DEU,2019,3.0,historical_model,false,Baseline estimate — run pipeline for verified scores,historical_model
